"shot_id","GAME_ID","MATCHUP","LOCATION","W","FINAL_MARGIN","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_DIST(ft)","PTS_TYPE","CLOSEST_DEFENDER","CLOSEST_DEFENDER_PLAYER_ID","CLOSE_DEF_DIST(ft)","FGM","PTS","player_name","player_id"
"172","21400495","JAN 03, 2015 - CHA @ ORL","A","W","8","1","2","9:25","18.7","0","0.8","22.6","3","Ridnour, Luke","2557","6.9","0","0","brian roberts","203148"
"194","21400444","DEC 27, 2014 - CHA vs. ORL","H","L","-8","2","2","8:49","12.5","0","0.8","23.2","3","Frye, Channing","101112","5.5","0","0","brian roberts","203148"
"299","21400195","NOV 23, 2014 - CHA @ MIA","A","L","-1","1","1","2:40","4.6","0","0.9","21.9","3","Napier, Shabazz","203894","4.2","0","0","brian roberts","203148"
"532","21400882","MAR 01, 2015 - CHA @ ORL","A","W","15","11","3","3:27","12.7","1","3.6","7.9","2","Vucevic, Nikola","202696","3.1","0","0","al jefferson","2744"
"812","21400409","DEC 22, 2014 - CHA vs. DEN","H","W","28","7","2","6:47","6.3","1","3.6","6.4","2","Nurkic, Jusuf","203994","2.3","0","0","al jefferson","2744"
"1683","21400862","FEB 27, 2015 - MIN @ CHI","A","L","-7","4","2","5:08","6.4","0","0.8","20.9","3","Snell, Tony","203503","1.3","0","0","gary neal","202390"
"1727","21400719","FEB 02, 2015 - CHA @ WAS","A","W","4","1","2","11:11","13","5","4.1","13.2","2","Seraphin, Kevin","202338","4.6","0","0","gary neal","202390"
"1868","21400438","DEC 26, 2014 - CHA @ OKC","A","L","-23","5","2","0:31","6.5","1","2","24","3","Westbrook, Russell","201566","5.8","0","0","gary neal","202390"
"1869","21400438","DEC 26, 2014 - CHA @ OKC","A","L","-23","6","3","1:58","3.6","10","9.8","12.9","2","Roberson, Andre","203460","3.4","0","0","gary neal","202390"
"1972","21400276","DEC 05, 2014 - CHA vs. NYK","H","W","1","8","4","7:22","20","0","0.8","15.6","2","Hardaway Jr., Tim","203501","5.5","0","0","gary neal","202390"
"2593","21400198","NOV 24, 2014 - CHA vs. LAC","H","L","-21","6","3","11:41","5.8","1","2.7","10.6","2","Bullock, Reggie","203493","2.3","0","0","gerald henderson","201945"
"2686","21400625","JAN 21, 2015 - CHA vs. MIA","H","W","2","9","2","1:44","3.9","0","0.8","24","3","Chalmers, Mario","201596","2.1","0","0","kemba walker","202689"
"3819","21400719","FEB 02, 2015 - CHA @ WAS","A","W","4","8","3","1:44","14.9","3","2.9","6.6","2","Porter, Otto","203490","0.5","0","0","lance stephenson","202362"
"3843","21400652","JAN 24, 2015 - CHA vs. NYK","H","W","5","9","4","7:04","12","2","2","16.3","2","Thomas, Lance","202498","3.5","0","0","lance stephenson","202362"
"3923","21400334","DEC 12, 2014 - CHA @ MEM","A","L","-6","3","2","11:01","12","2","4.2","17.5","2","Prince, Tayshaun","2419","5","0","0","lance stephenson","202362"
"3975","21400263","DEC 03, 2014 - CHA vs. CHI","H","L","-7","17","4","0:32","16.9","10","7.7","24.7","3","Hinrich, Kirk","2550","3.8","0","0","lance stephenson","202362"
"4151","21400028","NOV 01, 2014 - CHA vs. MEM","H","L","-2","6","3","7:50","7.8","0","0.9","24.1","3","Allen, Tony","2754","4.2","0","0","lance stephenson","202362"
"4226","21400742","FEB 05, 2015 - CHA vs. WAS","H","W","7","2","2","8:15","8.1","1","1.9","22.8","3","Humphries, Kris","2743","4.2","0","0","marvin williams","101107"
"4300","21400484","JAN 02, 2015 - CHA vs. CLE","H","L","-4","2","2","10:27","16","0","0.7","22.5","3","Love, Kevin","201567","7.8","0","0","marvin williams","101107"
"4718","21400797","FEB 11, 2015 - UTA @ DAL","A","L","-5","2","1","5:09","18.3","2","2.8","10.5","2","James, Bernard","203108","5.6","0","0","gordon hayward","202330"
"5178","21400314","DEC 09, 2014 - UTA vs. SAS","H","W","4","3","1","3:19","5.2","1","2","23.3","2","Diaw, Boris","2564","7.6","0","0","gordon hayward","202330"
"5210","21400286","DEC 05, 2014 - UTA vs. ORL","H","L","-5","6","1","0:03","0","28","21","7.6","2","Payton, Elfrid","203901","1.7","0","0","gordon hayward","202330"
"5847","21400826","FEB 22, 2015 - OKC vs. DEN","H","W","25","4","1","3:48","24","0","0","4.7","2","Faried, Kenneth","202702","2.3","0","0","enes kanter","202683"
"6223","21400306","DEC 08, 2014 - UTA @ SAC","A","L","-9","9","4","9:09","11.6","0","1","20.5","2","Thompson, Jason","201574","6.7","0","0","enes kanter","202683"
"6270","21400251","DEC 01, 2014 - UTA vs. DEN","H","L","-2","18","4","6:35","24","0","0.1","4.1","2","Mozgov, Timofey","202389","0.9","0","0","enes kanter","202683"
"6414","21400048","NOV 03, 2014 - UTA @ LAC","A","L","-6","9","3","9:40","8.4","2","6.1","4.8","2","Griffin, Blake","201933","3.2","0","0","enes kanter","202683"
"6555","21400764","FEB 07, 2015 - UTA vs. SAC","H","W","12","1","1","8:32","8.7","0","1","16.2","2","McLemore, Ben","203463","5.6","0","0","derrick favors","202324"
"6687","21400597","JAN 16, 2015 - UTA vs. LAL","H","W","9","7","2","3:24","10.5","0","1.4","1.7","2","Hill, Jordan","201941","1.3","0","0","derrick favors","202324"
"6764","21400516","JAN 05, 2015 - UTA vs. IND","H","L","-4","14","4","7:25","7.7","1","1.3","5.2","2","Allen, Lavoy","202730","1.7","0","0","derrick favors","202324"
"6858","21400373","DEC 17, 2014 - UTA @ MIA","A","W","18","6","3","8:03","15.2","2","2","6.8","2","Deng, Luol","2736","1.3","0","0","derrick favors","202324"
"6879","21400314","DEC 09, 2014 - UTA vs. SAS","H","W","4","14","3","6:13","12.7","0","0.9","14.4","2","Duncan, Tim","1495","9.5","0","0","derrick favors","202324"
"7220","21400610","JAN 18, 2015 - UTA @ SAS","A","L","-20","2","2","8:22","6.3","3","4.2","27.1","3","Parker, Tony","2225","4.8","0","0","dante exum","203957"
"7405","21400012","OCT 29, 2014 - UTA vs. HOU","H","L","-11","3","4","8:07","0","7","5.2","20.1","2","Harden, James","201935","2.2","0","0","dante exum","203957"
"7424","21400851","FEB 25, 2015 - UTA vs. LAL","H","L","-3","1","1","10:44","9.9","2","2.5","19.9","2","Sacre, Robert","203135","5.9","0","0","jon ingles","204060"
"8470","21400756","FEB 06, 2015 - UTA @ PHX","A","L","-7","4","2","3:02","24","0","0","3.2","2","Morris, Markieff","202693","2.2","0","0","rudy gobert","203497"
"8692","21400890","MAR 03, 2015 - LAL @ CHA","A","L","-1","6","2","3:59","7.5","0","9.7","17.1","2","Zeller, Cody","203469","3.5","0","0","carlos boozer","2430"
"8859","21400648","JAN 23, 2015 - LAL @ SAS","A","L","-14","8","3","5:09","0","0","1","17.8","2","Duncan, Tim","1495","4.1","0","0","carlos boozer","2430"
"10062","21400300","DEC 07, 2014 - LAL vs. NOP","H","L","-17","4","1","7:55","0","7","6.2","10.2","2","Holiday, Jrue","201950","0.3","0","0","kobe bryant","977"
"10279","21400155","NOV 18, 2014 - LAL @ ATL","A","W","5","18","4","0:23","6.6","8","10.7","20.4","2","Sefolosha, Thabo","200757","1.6","0","0","kobe bryant","977"
"10616","21400695","JAN 29, 2015 - LAL vs. CHI","H","W","5","6","4","9:57","24","0","0","1.8","2","Noah, Joakim","201149","2.2","0","0","ed davis","202334"
"11125","21400878","MAR 01, 2015 - LAL vs. OKC","H","L","-7","6","2","0:07","5","19","18.1","17.9","2","Singler, Kyle","202713","4.4","0","0","wayne ellington","201961"
"11285","21400680","JAN 27, 2015 - LAL vs. WAS","H","L","-6","11","2","0:10","0","0","1.6","25.2","3","Nene","2403","4.2","0","0","wayne ellington","201961"
"11593","21400798","FEB 11, 2015 - LAL @ POR","A","L","-16","8","4","11:31","10","1","1.5","22.1","2","Matthews, Wesley","202083","2.5","0","0","wesley johnson","202325"
"11864","21400264","DEC 03, 2014 - LAL @ WAS","A","L","-16","1","1","7:32","10.3","2","3.5","24.9","3","Pierce, Paul","1718","2.1","0","0","wesley johnson","202325"
"11915","21400180","NOV 21, 2014 - LAL @ DAL","A","L","-34","4","3","11:52","16.5","1","2.4","6.4","2","Chandler, Tyson","2199","2.1","0","0","wesley johnson","202325"
"11980","21400038","NOV 01, 2014 - LAL @ GSW","A","L","-23","5","3","11:53","17.1","0","0.3","25.6","2","Barnes, Harrison","203084","5.2","0","0","wesley johnson","202325"
"12405","21400300","DEC 07, 2014 - LAL vs. NOP","H","L","-17","10","3","5:41","5","0","0.8","21.5","2","Asik, Omer","201600","6.2","0","0","jordan hill","201941"
"12443","21400248","NOV 30, 2014 - LAL vs. TOR","H","W","7","10","3","11:21","10.6","0","0.8","19.5","2","Vasquez, Greivis","202349","5.4","0","0","jordan hill","201941"
"13715","21400182","NOV 21, 2014 - GSW vs. UTA","H","W","13","2","1","10:38","18.6","0","0.6","21.7","3","Hayward, Gordon","202330","8.4","0","0","harrison barnes","203084"
"13750","21400121","NOV 13, 2014 - GSW vs. BKN","H","W","8","7","3","9:23","16.5","0","0.8","22.1","3","Johnson, Joe","2207","6.2","0","0","harrison barnes","203084"
"13771","21400095","NOV 09, 2014 - GSW @ PHX","A","L","-12","6","3","0:01","0","1","0.4","23.9","3","Morris, Marcus","202694","22.2","0","0","harrison barnes","203084"
"14095","21400880","MAR 01, 2015 - GSW @ BOS","A","W","5","9","1","0:38","17.6","6","6.5","22.8","2","Thomas, Isaiah","202738","0.4","0","0","stephen curry","201939"
"14336","21400679","JAN 27, 2015 - GSW vs. CHI","H","L","-2","16","4","8:58","17.6","6","3.6","1.9","2","Noah, Joakim","201149","2","0","0","stephen curry","201939"
"14680","21400324","DEC 10, 2014 - GSW vs. HOU","H","W","12","1","1","10:19","18.8","0","1","27.3","3","Harden, James","201935","13.5","0","0","stephen curry","201939"
"14911","21400108","NOV 11, 2014 - GSW vs. SAS","H","L","-13","18","4","0:52","22.7","0","1.4","30.3","3","Daye, Austin","201948","3.8","0","0","stephen curry","201939"
"15036","21400907","MAR 04, 2015 - GSW vs. MIL","H","W","9","14","4","2:53","1","0","0.8","26.1","3","Middleton, Khris","203114","3","0","0","klay thompson","202691"
"15237","21400741","FEB 04, 2015 - GSW vs. DAL","H","W","14","16","4","2:48","12.7","0","0.6","23.1","3","Ellis, Monta","101145","3.6","0","0","klay thompson","202691"
"15424","21400582","JAN 14, 2015 - GSW vs. MIA","H","W","15","6","2","3:17","14.7","0","1.1","24.8","3","Chalmers, Mario","201596","3.2","0","0","klay thompson","202691"
"16016","21400838","FEB 24, 2015 - GSW @ WAS","A","W","7","8","2","1:47","14.3","3","2","8.6","2","Gortat, Marcin","101162","2.1","0","0","marreese speights","201578"
"16142","21400593","JAN 16, 2015 - GSW @ OKC","A","L","-12","3","1","7:49","15.5","0","1","17.2","2","Adams, Steven","203500","8.5","0","0","marreese speights","201578"
"16225","21400493","JAN 02, 2015 - GSW vs. TOR","H","W","21","18","4","2:26","9.4","0","0.8","19.3","2","Ross, Terrence","203082","5.9","0","0","marreese speights","201578"
"16648","21400348","DEC 14, 2014 - GSW @ NOP","A","W","6","1","1","2:54","23.7","2","1.6","15.5","2","Cunningham, Dante","201967","2.9","0","0","shaun livingston","2733"
"16732","21400140","NOV 15, 2014 - GSW vs. CHA","H","W","25","4","4","8:41","4.8","2","3.7","13.7","2","Roberts, Brian","203148","3.3","0","0","shaun livingston","2733"
