W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),PTS_TYPE,CLOSE_DEF_DIST(ft)
W,8,1,2,18.7,0,0.8,22.6,3,6.9
L,-8,2,2,12.5,0,0.8,23.2,3,5.5
L,-1,1,1,4.6,0,0.9,21.9,3,4.2
W,15,11,3,12.7,1,3.6,7.9,2,3.1
W,28,7,2,6.3,1,3.6,6.4,2,2.3
L,-7,4,2,6.4,0,0.8,20.9,3,1.3
W,4,1,2,13,5,4.1,13.2,2,4.6
L,-23,5,2,6.5,1,2,24,3,5.8
L,-23,6,3,3.6,10,9.8,12.9,2,3.4
W,1,8,4,20,0,0.8,15.6,2,5.5
L,-21,6,3,5.8,1,2.7,10.6,2,2.3
W,2,9,2,3.9,0,0.8,24,3,2.1
W,4,8,3,14.9,3,2.9,6.6,2,0.5
W,5,9,4,12,2,2,16.3,2,3.5
L,-6,3,2,12,2,4.2,17.5,2,5
L,-7,17,4,16.9,10,7.7,24.7,3,3.8
L,-2,6,3,7.8,0,0.9,24.1,3,4.2
W,7,2,2,8.1,1,1.9,22.8,3,4.2
L,-4,2,2,16,0,0.7,22.5,3,7.8
L,-5,2,1,18.3,2,2.8,10.5,2,5.6
W,4,3,1,5.2,1,2,23.3,2,7.6
L,-5,6,1,0,28,21,7.6,2,1.7
W,25,4,1,24,0,0,4.7,2,2.3
L,-9,9,4,11.6,0,1,20.5,2,6.7
L,-2,18,4,24,0,0.1,4.1,2,0.9
L,-6,9,3,8.4,2,6.1,4.8,2,3.2
W,12,1,1,8.7,0,1,16.2,2,5.6
W,9,7,2,10.5,0,1.4,1.7,2,1.3
L,-4,14,4,7.7,1,1.3,5.2,2,1.7
W,18,6,3,15.2,2,2,6.8,2,1.3
W,4,14,3,12.7,0,0.9,14.4,2,9.5
L,-20,2,2,6.3,3,4.2,27.1,3,4.8
L,-11,3,4,0,7,5.2,20.1,2,2.2
L,-3,1,1,9.9,2,2.5,19.9,2,5.9
L,-7,4,2,24,0,0,3.2,2,2.2
L,-1,6,2,7.5,0,9.7,17.1,2,3.5
L,-14,8,3,0,0,1,17.8,2,4.1
L,-17,4,1,0,7,6.2,10.2,2,0.3
W,5,18,4,6.6,8,10.7,20.4,2,1.6
W,5,6,4,24,0,0,1.8,2,2.2
L,-7,6,2,5,19,18.1,17.9,2,4.4
L,-6,11,2,0,0,1.6,25.2,3,4.2
L,-16,8,4,10,1,1.5,22.1,2,2.5
L,-16,1,1,10.3,2,3.5,24.9,3,2.1
L,-34,4,3,16.5,1,2.4,6.4,2,2.1
L,-23,5,3,17.1,0,0.3,25.6,2,5.2
L,-17,10,3,5,0,0.8,21.5,2,6.2
W,7,10,3,10.6,0,0.8,19.5,2,5.4
W,13,2,1,18.6,0,0.6,21.7,3,8.4
W,8,7,3,16.5,0,0.8,22.1,3,6.2
L,-12,6,3,0,1,0.4,23.9,3,22.2
W,5,9,1,17.6,6,6.5,22.8,2,0.4
L,-2,16,4,17.6,6,3.6,1.9,2,2
W,12,1,1,18.8,0,1,27.3,3,13.5
L,-13,18,4,22.7,0,1.4,30.3,3,3.8
W,9,14,4,1,0,0.8,26.1,3,3
W,14,16,4,12.7,0,0.6,23.1,3,3.6
W,15,6,2,14.7,0,1.1,24.8,3,3.2
W,7,8,2,14.3,3,2,8.6,2,2.1
L,-12,3,1,15.5,0,1,17.2,2,8.5
W,21,18,4,9.4,0,0.8,19.3,2,5.9
W,6,1,1,23.7,2,1.6,15.5,2,2.9
W,25,4,4,4.8,2,3.7,13.7,2,3.3
W,11,1,2,19.7,0,0,3.3,2,2.2
W,13,1,1,0.9,1,2.3,19,2,2.7
L,-14,9,4,23.4,0,0.1,3.8,2,1.6
L,-7,3,2,8,0,1.2,2.3,2,1.8
W,5,5,2,11.3,0,2.3,16.8,2,4.3
L,-6,10,4,4,4,6.6,12,2,2.9
W,16,8,3,13.9,0,1,4.1,2,0.9
W,10,3,1,0,3,4.2,3.2,2,1.5
W,11,7,4,16.9,10,7.4,17.6,2,4.1
L,-6,8,3,9.2,16,14.4,3.3,2,4.2
L,-30,6,4,9.1,2,3.2,19.5,2,4.3
W,8,1,1,17,0,1.3,24.5,3,7.6
W,3,5,1,17.1,2,2.3,5.3,2,3.2
L,-2,5,1,12.2,0,1.2,24.7,3,4.8
W,5,8,4,18.9,0,0.8,23.8,3,8.9
L,-15,7,3,7,0,0.9,25.7,3,10.6
W,6,6,4,17.4,0,0.7,25.3,3,3.7
W,17,9,4,15,0,3,4.9,2,1.6
W,11,11,3,17.2,8,7.1,8.3,2,3.5
W,8,4,1,2.7,5,3.8,22.5,3,6.2
W,10,7,2,0,9,8.4,4.3,2,1.6
W,9,10,4,9,0,0.8,24.9,3,5.3
L,-12,4,4,17.8,0,0.9,22.1,3,5.2
W,8,5,2,24,0,0.3,0.7,2,4.9
W,8,1,1,23.5,0,1.2,6.3,2,5.3
L,-19,5,3,0,0,0.8,22.9,3,9.6
W,14,9,3,14.6,1,2.7,18.3,2,5.9
L,-4,9,4,9.3,2,3.5,5.5,2,0.1
L,-4,3,1,20.2,0,0.9,23.2,3,5.5
W,13,7,4,1,5,6.1,16.1,2,3.2
L,-7,2,1,19,0,0.8,24.2,3,5.2
W,37,10,3,22,0,1,25.7,3,6.3
L,-2,7,3,9.5,3,2.2,14.6,2,8
W,6,9,3,0,3,3.5,3.3,2,3.1
W,16,16,4,7.5,16,15.1,15,2,5
W,8,1,1,23,0,1.2,1.7,2,1.9
W,17,9,3,8.4,7,6.5,3.6,2,2.2
L,-7,8,2,3.4,0,0.8,24.2,3,6.2
W,28,5,2,3.9,8,7.7,24,2,5.2
L,-35,4,2,3.6,1,3.3,7.7,2,1.7
W,5,6,1,12,0,0.9,25.7,3,7.5
L,-7,5,2,12.2,1,2.1,6.2,2,1.7
L,-5,9,2,17.8,1,2.5,12.9,2,4.7
W,3,4,1,18.6,0,1.4,25.3,3,5
L,-12,3,1,11.6,2,1.4,9.5,2,1.9
W,11,3,1,8.5,0,0.7,23.9,3,4.8
W,28,5,2,1.3,0,0.8,8.4,2,4.3
W,7,7,2,9.9,1,1.9,7.7,2,3.1
L,-24,6,2,6,9,6.7,21,2,5.1
L,-14,6,3,7.4,0,0.8,11.1,2,2.7
W,8,10,2,17,0,1.1,22.8,3,6.7
W,10,4,1,19.7,0,0.5,1.6,2,2.8
W,16,9,4,9.7,3,3,8.3,2,2.4
W,19,2,4,9.7,2,2.5,5.9,2,2.2
L,-21,4,3,9.5,3,4.2,7.5,2,2.5
L,-3,8,3,0,0,0.8,3,2,2.5
W,5,5,3,10.9,1,1.2,2.2,2,2.2
W,13,6,2,16.3,1,3.6,7.8,2,3
W,13,5,3,14.8,0,0.7,22.4,3,5.9
L,-14,14,3,13.7,0,1.1,23.2,3,7.1
L,-9,4,2,12.6,13,10.6,20.9,2,3.8
L,-7,2,1,10,3,3.3,13.6,2,5.7
W,4,6,2,16.3,2,4,5.2,2,2.4
W,14,3,2,13.6,0,1,18.6,2,10.4
W,11,3,4,18.4,8,5.1,1.3,2,2
W,53,2,2,7.6,3,2.3,12.6,2,5.6
W,11,16,4,17.6,0,0.9,24.9,3,6.1
W,15,8,3,12.6,5,4.2,21.6,2,5.5
W,5,6,2,12.3,2,2.2,5.2,2,2.8
L,-13,5,3,14.9,0,0.8,25,3,5.7
L,-12,1,4,17.9,0,0.9,24.9,3,4.4
W,53,2,4,16.3,0,0.9,24.8,3,7.4
W,34,2,1,11.6,0,0.9,24.8,3,4.3
W,5,11,4,8.8,0,0.7,23,3,7
L,-3,3,2,15,0,0.9,19.1,2,6
